88,Lost in Translation,Soffia Coppola,2003,,DVD25
978,Luciérnagas en el jardín,Dennis Lee,2008,,DVD116
1036,Lust for life,Vincente Minnelli,1956,V.O.S.,DVD143
185,M.A.S.H.,Robert Altman,1970,,DVD44
452,Macbeth,Roman Polanski,1971,null,DVD88
950,Madres e hijas,Rodrigo García,2009,,DVD124
169,Magnolia,Paul Thomas Anderson,1999,,DVD41
219,Malcolm X,Spike Lee,1992,,DVD51
901,Malditos bastardos,Quentin Tarantino,2009,,DVD104
992,Mammoth,Lukas Moodysson,2009,,DVD120
175,Manderlay,Lars Von Trier,2005,,DVD42
880,Mapa de los sonidos de Tokyo,Isabel Coixet,2009,,DVD98
182,Mar adentro,Alejandro Amenábar,2004,,DVD44
223,Marea roja,Tony Scott,1995,,DVD52
253,María Estuardo,John Ford,1936,,DVD61
894,Marnie La ladrona,Alfred Hitchcock,1964,,DVD102
1008,Más allá de la vida,Clint Eastwood,2010,,DVD133
942,Más allá del tiempo,Robert Schwentke,2009,,DVD122
1019,Matar a un ruiseñor,Robert Mulligan,1962,,DVD136
361,Matrix,Wachowstky brothers,1999,Divx(16:9) / Extras,CD'R
915,Matrix Reloaded,Wachowski Brothers,2003,,DVD108
916,Matrix Revolutions,Wachowski Brothers,2003,,DVD108
940,Max Manus,"Joachim Rønning, Espen Sandberg",2008,,DVD121
12,Medianoche en el jardín del bien y el mal,Clint Eastwood,1997,,DVD11
974,Medidas extraordinarias,Tom Vaughan,2009,,DVD115
376,Memento,Christopher Nolan,2000,MPEG(2CD's),2CD'R
189,Memorias de África,Sidney Pollack,1985,,DVD45
70,Memorias de una geisha,Rob Marshall,2005,,DVD22
201,Mephisto,István Szabó,1981,,DVD48
419,Metropolis,Osamu Tezuka,2005,Divx(16:9),CD'R
230,Michael Clayton,Tony Gilroy,2007,,DVD54
864,Mifune,Soren Kragh-Jacobsen,1999,,DVD94
899,Millenium 2,Daniel Alfredson,2009,,DVD103
936,Millenium 3,Daniel Alfredson,2009,,DVD113
40,Millones,Danny Boyle,2004,,DVD17
255,"Mimzy, más allá de la imaginación",Robert Shaye,2007,,DVD61
323,Mi nombre es Harvey Milk,Gus Van Sant,2009,,DVD78
225,Misterio en el barco perdido,Michael Anderson,1959,,DVD53
91,Misteriosa Obsesión,Joseph Ruben,2004,null,DVD26
116,Misterioso asesinato en Manhattan,Woody Allen,1993,,DVD30
306,Mongol,Sergei Bodrov,2007,,DVD73
905,Moon,Duncan Jones,2009,,DVD105
906,Morituri,Bernhard Wicki,1965,,DVD105
334,Mr Brooks,Bruce A. Evans,2007,,DVD81
57,Mucho ruido y pocas nueces,Kenneth Branagh,1993,,DVD2
100,Muerte entre las flores,Joel & Ethan Coen,1990,,DVD28
380,Mulholland drive,David Lynch,2001,Divx (16:9),CD'R
1000,Munich,Steven Spielberg,2005,,DVD131
971,Mutiny on the bounty,Frank Lloyd,1936,V.O.S.,DVD130
317,My blueberry nights,Wong-Kar Wai,2007,,DVD76
375,Mystic River,Clint Eastwood,2003,VCD,CD'R
147,Nacido el 4 de Julio,Oliver Stone,1989,,DVD37
406,Nadie conoce a nadie,Mateo Gil,1999,Divx(16:9),CD'R
967,Nadie sabe nada de gatos persas,Bahman Ghobadi,2009,,DVD129
349,Negocios de Guerra,Joshua Sheftel,2008,,DVD85
144,Next,Lee Tamahori,2007,,DVD36
399,Nivel 13,Josef Rusnak,1999,VCD,CD'R
888,N Napoleón y yo,Paolo Virzi,2006,,DVD100
352,No es país para viejos,Joel & Ethan Coen,2007,,DVD86
892,Nostalgia,Andrei Tarkovsky,1986,,DVD101
299,Nuremberg,Yves Simoneau,2000,,DVD71
36,O Brother!,Joel & Ethan Coen,2000,,DVD16
28,Odessa,Ronalde Neame,1974,,DVD14
73,Offside,Jafar Panahi,2005,,DVD23
873,Ojos de serpiente,Brian de Palma,1998,,DVD97
25,Old Boy,Chan wook-park,2003,null,DVD14
357,Olvidate de mi,Michael Gondry,2004,,DVD9
1027,Omagh,Pete Travis,2004,V.O.S.,DVD140
304,Once,John Carney,2006,,DVD73
958,One Fine Day,Michael Hoffman,1996,V.O.S.,DVD127
229,Operación Canadá,Michael Moore,1995,,DVD54
